,MIDI note number,Key number (Organ),Key number (Piano),Note names (English),Note names (German),Frequency (Equal tuning at 440 Hz),Simple Note names (English)
0,128, , ,G#9/Ab9,gis’’’’’’/ges’’’’’’,13289.75,G#9
1,127, , ,G9,g’’’’’’,12543.85,G9
2,126, , ,F#9/Gb9,fis’’’’’’/ges’’’’’’,11839.82,F#9
3,125, , ,F9,f’’’’’’,11175.3,F9
4,124, , ,E9,e’’’’’’,10548.08,E9
5,123, , ,D#9/Eb9,dis’’’’’’/es’’’’’’,9956.06,D#9
6,122, , ,D9,d’’’’’’,9397.27,D9
7,121, , ,C#9/Db9,cis’’’’’’/des’’’’’’,8869.84,C#9
8,120, , ,C9,c’’’’’’,8372.02,C9
9,119, , ,B8,h’’’’’,7902.13,B8
10,118, , ,A#8/Bb8,ais’’’’’/b’’’’’,7458.62,A#8
11,117, , ,A8,a’’’’’,7040.0,A8
12,116, , ,G#8/Ab8,gis’’’’’/ges’’’’’,6644.88,G#8
13,115, , ,G8,g’’’’’,6271.93,G8
14,114, , ,F#8/Gb8,fis’’’’’/ges’’’’’,5919.91,F#8
15,113, , ,F8,f’’’’’,5587.65,F8
16,112, , ,E8,e’’’’’,5274.04,E8
17,111, , ,D#8/Eb8,dis’’’’’/es’’’’’,4978.03,D#8
18,110, , ,D8,d’’’’’,4698.64,D8
19,109, , ,C#8/Db8,cis’’’’’/des’’’’’,4434.92,C#8
20,108, ,88,C8,c’’’’’,4186.01,C8
21,107, ,87,B7,h’’’’,3951.07,B7
22,106, ,86,A#7/Bb7,ais’’’’/b’’’’,3729.31,A#7
23,105, ,85,A7,a’’’’,3520.0,A7
24,104, ,84,G#7/Ab7,gis’’’’/ges’’’’,3322.44,G#7
25,103, ,83,G7,g’’’’,3135.96,G7
26,102, ,82,F#7/Gb7,fis’’’’/ges’’’’,2959.96,F#7
27,101, ,81,F7,f’’’’,2793.83,F7
28,100, ,80,E7,e’’’’,2637.02,E7
29,99, ,79,D#7/Eb7,dis’’’’/es’’’’,2489.02,D#7
30,98, ,78,D7,d’’’’,2349.32,D7
31,97, ,77,C#7/Db7,cis’’’’/des’’’’,2217.46,C#7
32,96,61,76,C7,c’’’’,2093.0,C7
33,95,60,75,B6,h’’’,1975.53,B6
34,94,59,74,A#6/Bb6,ais’’’/b’’’,1864.66,A#6
35,93,58,73,A6,a’’’,1760.0,A6
36,92,57,72,G#6/Ab6,gis’’’/as’’’,1661.22,G#6
37,91,56,71,G6,g’’’,1567.98,G6
38,90,55,70,F#6/Gb6,fis’’’/ges’’’,1479.98,F#6
39,89,54,69,F6,f’’’,1396.91,F6
40,88,53,68,E6,e’’’,1318.51,E6
41,87,52,67,D#6/Eb6,dis’’’/es’’’,1244.51,D#6
42,86,51,66,D6,d’’’,1174.66,D6
43,85,50,65,C#6/Db6,cis’’’/des’’’,1108.73,C#6
44,84,49,64,C6,c’’’,1046.5,C6
45,83,48,63,B5,h’’,987.77,B5
46,82,47,62,A#5/Bb5,ais’’/b’’,932.33,A#5
47,81,46,61,A5,a’’,880.0,A5
48,80,45,60,G#5/Ab5,gis’’/as’’,830.61,G#5
49,79,44,59,G5,g’’,783.99,G5
50,78,43,58,F#5/Gb5,fis’’/ges’’,739.99,F#5
51,77,42,57,F5,f’’,698.46,F5
52,76,41,56,E5,e’’,659.26,E5
53,75,40,55,D#5/Eb5,dis’’/es’’,622.25,D#5
54,74,39,54,D5,d’’,587.33,D5
55,73,38,53,C#5/Db5,cis’’/des’’,554.37,C#5
56,72,37,52,C5,c’’,523.25,C5
57,71,36,51,B4,h’,493.88,B4
58,70,35,50,A#4/Bb4,ais’/b’,466.16,A#4
59,69,34,49,A4 concert pitch,a’ Kammerton,440.0,A4
60,68,33,48,G#4/Ab4,gis’/as’,415.3,G#4
61,67,32,47,G4,g’,392.0,G4
62,66,31,46,F#4/Gb4,fis’/ges’,369.99,F#4
63,65,30,45,F4,f’,349.23,F4
64,64,29,44,E4,e’,329.63,E4
65,63,28,43,D#4/Eb4,dis’/es’,311.13,D#4
66,62,27,42,D4,d’,293.66,D4
67,61,26,41,C#4/Db4,cis’/des’,277.18,C#4
68,60,25,40,C4 (middle C),c’ (Schloss-C),261.63,C4
69,59,24,39,B3,h,246.94,B3
70,58,23,38,A#3/Bb3,ais/b,233.08,A#3
71,57,22,37,A3,a,220.0,A3
72,56,21,36,G#3/Ab3,gis/as,207.65,G#3
73,55,20,35,G3,g,196.0,G3
74,54,19,34,F#3/Gb3,fis/ges,185.0,F#3
75,53,18,33,F3,f,174.61,F3
76,52,17,32,E3,e,164.81,E3
77,51,16,31,D#3/Eb3,dis/es,155.56,D#3
78,50,15,30,D3,d,146.83,D3
79,49,14,29,C#3/Db3,cis/des,138.59,C#3
80,48,13,28,C3,c,130.81,C3
81,47,12,27,B2,H,123.47,B2
82,46,11,26,A#2/Bb2,Ais/B,116.54,A#2
83,45,10,25,A2,A,110.0,A2
84,44,9,24,G#2/Ab2,Gis/As,103.83,G#2
85,43,8,23,G2,G,98.0,G2
86,42,7,22,F#2/Gb2,Fis/Ges,92.5,F#2
87,41,6,21,F2,F,87.31,F2
88,40,5,20,E2,E,82.41,E2
89,39,4,19,D#2/Eb2,Dis/Es,77.78,D#2
90,38,3,18,D2,D,73.42,D2
91,37,2,17,C#2/Db2,Cis/Des,69.3,C#2
92,36,1,16,C2,C,65.41,C2
93,35, ,15,B1,H1,61.74,B1
94,34, ,14,A#1/Bb1,Ais1/b1,58.27,A#1
95,33, ,13,A1,A1,55.0,A1
96,32, ,12,G#1/Ab1,Gis1/As1,51.91,G#1
97,31, ,11,G1,G1,49.0,G1
98,30, ,10,F#1/Gb1,Fis1/Ges1,46.25,F#1
99,29, ,9,F1,F1,43.65,F1
100,28, ,8,E1,E1,41.2,E1
101,27, ,7,D#1/Eb1,Dis1/Es1,38.89,D#1
102,26, ,6,D1,D1,36.71,D1
103,25, ,5,C#1/Db1,Cis1/Des1,34.65,C#1
104,24, ,4,C1,C1,32.7,C1
105,23, ,3,B0,H2,30.87,B0
106,22, ,2,A#0/Bb0,Ais2/B2,29.14,A#0
107,21, ,1,A0,A2,27.5,A0
108,20, , , , ,25.96,
109,19, , , , ,24.5,
110,18, , , , ,23.12,
111,17, , , , ,21.83,
112,16, , , , ,20.6,
113,15, , , , ,19.45,
114,14, , , , ,18.35,
115,13, , , , ,17.32,
116,12, , , , ,16.35,
117,11, , , , ,15.43,
118,10, , , , ,14.57,
119,9, , , , ,13.75,
120,8, , , , ,12.98,
121,7, , , , ,12.25,
122,6, , , , ,11.56,
123,5, , , , ,10.91,
124,4, , , , ,10.3,
125,3, , , , ,9.72,
126,2, , , , ,9.18,
127,1, , , , ,8.66,
128,0, , , , ,8.18,
